no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count,d_url
4001,3999,고민 싹둑 코알라 미용실,윤정 글 ;박현주 그림,김영사,2023.0,9788934910992,73810.0,3.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33342/3/cover/8934910992_1.jpg,https://data4library.kr/bookV?seq=6826896,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=333420348
4002,3999,장화 신은 개구리 보짱,최은옥 글 ;김유대 그림,김영사,2023.0,9788934911937,73810.0,3.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34796/57/cover200/893491193x_1.jpg,https://data4library.kr/bookV?seq=2474508,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=347965711
4003,3999,나의 눈부신 친구 ,엘레나 페란테 지음 ;김지우 옮김,한길사,2016.0,9788935669738,4880.0,1.0,883.0,문학 > 이탈리아문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/107/944/10794482.jpg?type=m1&udate=20170606,https://data4library.kr/bookV?seq=3201091,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=86957806
4004,3999,무서운 이야기 :이갑규 그림책 ,글·그림: 이갑규,창비,2020.0,9788936455583,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/25426/26/cover/8936455583_1.jpg,https://data4library.kr/bookV?seq=5788977,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=254262673
4005,3999,입이 똥꼬에게 ,박경효 글·그림,비룡소,2008.0,9788949101583,77810.0,33.0,813.6,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/220/61/cover/8949101580_1.jpg,https://data4library.kr/bookV?seq=2202967,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=2206100
4006,3999,(간니닌니) 마법의 도서관 :명작 속으로 떠나는 판타지 동화 여행,"글: 지유리,그림: 이경희",아울북(북이십일 아울북),2020.0,9788950970390,74800.0,12.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31815/94/cover/8950970392_1.jpg,https://data4library.kr/bookV?seq=345550,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=318159487
4007,3999,엄마는 회사에서 내 생각 해? ,김영진 글·그림,길벗어린이,2014.0,9788955823066,77810.0,2.0,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/4883/74/cover/8955823061_1.jpg,https://data4library.kr/bookV?seq=2430942,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=48837466
4008,3999,완벽한 케이크의 맛 :김혜진 짧은 소설 ,지은이: 김혜진 ;그린이: 박혜진,마음산책,2023.0,9788960908123,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31744/24/cover/8960908126_1.jpg,https://data4library.kr/bookV?seq=6698067,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=317442445
4009,3999,고릴라 코딱지 ,김진완 글 ;정설희 그림,노란돼지,2014.0,9788994975344,77810.0,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/3890/47/cover/8994975349_1.jpg,https://data4library.kr/bookV?seq=2028582,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=38904700
4010,3999,(우주 탐험단) 네발로행진호 ,이승민 글 ;서현 그림,풀빛,,9791161720647,74810.0,1.0,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/133/967/13396744.jpg?type=m1&udate=20180515,https://data4library.kr/bookV?seq=3711203,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=136493074
4011,3999,카스트라토 :표창원 장편소설 ,지은이: 표창원,넥서스,2024.0,9791166839320,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34610/97/cover200/k532933784_1.jpg,https://data4library.kr/bookV?seq=6944547,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=346109782
4012,3999,지옥 초등학교,아리타 나오 글 ;이소담 옮김,한빛에듀,2024.0,9791169212311,73830.0,2.0,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/33783/14/cover/k372930479_2.jpg,https://data4library.kr/bookV?seq=6861694,396,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337831458
