no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,class_no,class_nm,loan_count,sales_point,price,page_count,review_count,average_rating,최다연령대_여성,최다연령대_남성,성비_여성,20~30대_남성,20~30대_여성,분류,대출수준,단행/시리즈,중분류,소분류,data,키워드
1,1,소년이 온다 :한강 장편소설,지은이: 한강,창비,2014,9788936434120,A03810,813.62,문학 > 한국문학 > 소설,2153.5,767918,13500,216.0,394.0,9.6,40.0,40.0,0.7,8.3,31.4,한국소설,상위권,단행본, 한국문학 , 소설,"소년이 온다 :한강 장편소설,9788936434120","[""저항"", ""증언"", ""폭력"", ""기억"", ""연대""]"
2,2,홍학의 자리 :정해연 장편소설,지은이: 정해연,문학동네,2021,9788954681155,A03810,813.7,문학 > 한국문학 > 소설,5667.0,53420,12600,336.0,53.0,7.3,30.0,20.0,0.8,9.9,48.6,추리/미스터리소설,상위권,단행본, 한국문학 , 소설,"홍학의 자리 :정해연 장편소설,9788954681155","[""로맨스"", ""사랑"", ""이별"", ""가족"", ""상처""]"
3,3,작별하지 않는다 :한강 장편소설,지은이: 한강,문학동네,2021,9788954682152,A03810,813.62,문학 > 한국문학 > 소설,5540.0,486356,15120,332.0,110.0,9.0,40.0,50.0,0.7,7.800000000000001,25.1,한국소설,상위권,단행본, 한국문학 , 소설,"작별하지 않는다 :한강 장편소설,9788954682152","[""가족"", ""이별"", ""시간"", ""기억""]"
4,4,모순 :양귀자 장편소설,지은이: 양귀자,쓰다,2013,9788998441012,A03810,813.62,문학 > 한국문학 > 소설,5478.0,277357,11700,308.0,107.0,9.1,20.0,30.0,0.8,9.4,54.5,한국소설,상위권,단행본, 한국문학 , 소설,"모순 :양귀자 장편소설,9788998441012","[""성장"", ""사랑"", ""인간관계"", ""가족"", ""상실""]"
5,5,나는 소망한다 내게 금지된 것을 :양귀자 장편소설,지은이: 양귀자,쓰다,2019,9788998441074,A03810,813.62,문학 > 한국문학 > 소설,2382.0,66025,13500,368.0,38.0,9.4,20.0,20.0,0.9,4.2,76.5,한국소설,상위권,단행본, 한국문학 , 소설,"나는 소망한다 내게 금지된 것을 :양귀자 장편소설,9788998441074","[""사랑"", ""금지"", ""욕망"", ""성장"", ""성찰""]"
6,6,지구 끝의 온실 :김초엽 장편소설,지은이: 김초엽,자이언트북스,2021,9791191824001,A03810,813.7,문학 > 한국문학 > 소설,4238.0,39064,16650,392.0,87.0,9.0,20.0,20.0,0.8,8.3,51.7,과학소설(SF),상위권,단행본, 한국문학 , 소설,"지구 끝의 온실 :김초엽 장편소설,9791191824001","[""SF"", ""기후변화"", ""생태"", ""공존"", ""감동""]"
7,7,채식주의자 :한강 장편소설,지은이: 한강,창비,2022,9788936434595,A03810,813.62,문학 > 한국문학 > 소설,2369.0,455714,15300,276.0,67.0,8.3,40.0,50.0,0.7,9.6,26.9,한국소설,상위권,단행본, 한국문학 , 소설,"채식주의자 :한강 장편소설,9788936434595","[""성장"", ""정체성"", ""관계"", ""상실"", ""윤리""]"
8,8,밝은 밤 :최은영 장편소설,지은이: 최은영,문학동네,2021,9788954681179,A03810,813.7,문학 > 한국문학 > 소설,3886.0,44077,13950,344.0,168.0,9.5,30.0,40.0,0.8,7.300000000000001,49.8,한국소설,상위권,단행본, 한국문학 , 소설,"밝은 밤 :최은영 장편소설,9788954681179","[""성장"", ""여성"", ""연대"", ""가족""]"
9,9,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9791161571188,A03810,813.7,문학 > 한국문학 > 소설,2138.5,148647,15120,268.0,171.0,8.7,40.0,40.0,0.7,11.1,21.2,한국소설,상위권,단행본, 한국문학 , 소설,"불편한 편의점 :김호연 장편소설,9791161571188","[""성장"", ""관계"", ""일상"", ""치유"", ""청춘""]"
10,10,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,A03810,813.6,문학 > 한국문학 > 소설,3692.0,57521,10800,247.0,380.0,8.3,40.0,40.0,0.7,11.5,40.0,한국소설,상위권,단행본, 한국문학 , 소설,"채식주의자:한강 연작소설,9788936433598","[""성장"", ""관계"", ""상실"", ""성장통""]"
11,11,천 개의 파랑 :천선란 장편소설,지은이: 천선란,허블,2020,9791190090261,A03810,813.7,문학 > 한국문학 > 소설,3665.0,43031,15300,376.0,102.0,8.9,20.0,40.0,0.8,7.2,50.0,과학소설(SF),상위권,단행본, 한국문학 , 소설,"천 개의 파랑 :천선란 장편소설,9791190090261","[""성장"", ""이별"", ""희망"", ""사랑"", ""미래""]"
12,12,이처럼 사소한 것들 :클레어 키건 소설,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,9791130646381,A03840,843.6,문학 > 영미문학 > 소설,2128.0,111211,12420,132.0,127.0,9.1,40.0,40.0,0.8,8.5,24.0,세계의 소설,상위권,단행본, 영미문학 , 소설,"이처럼 사소한 것들 :클레어 키건 소설,9791130646381","[""성장"", ""관계"", ""상실"", ""여름"", ""기억""]"
13,13,종의 기원 =정유정 장편소설 /The origin of species,지은이: 정유정,은행나무,2016,9788956609959,A03810,813.7,문학 > 한국문학 > 소설,3465.0,43180,15120,384.0,248.0,8.4,20.0,40.0,0.8,10.8,46.4,한국소설,상위권,단행본, 한국문학 , 소설,"종의 기원 =정유정 장편소설 /The origin of species,9788956609959","[""진화"", ""생존"", ""자연"", ""인간"", ""변이""]"
14,14,급류 :정대건 장편소설,지은이: 정대건,민음사,2022,9788937473401,A04810,813.7,문학 > 한국문학 > 소설,5163.0,132354,12600,300.0,48.0,6.7,20.0,20.0,0.8,9.9,39.7,한국소설,상위권,단행본, 한국문학 , 소설,"급류 :정대건 장편소설,9788937473401","[""재난"", ""생존"", ""여름"", ""인간"", ""가족""]"
15,15,바깥은 여름 :김애란 소설,지은이: 김애란,문학동네,2017,9788954646079,A03810,813.7,문학 > 한국문학 > 소설,3391.0,46916,13050,272.0,226.0,8.9,20.0,30.0,0.8,9.5,53.2,한국소설,상위권,단행본, 한국문학 , 소설,"바깥은 여름 :김애란 소설,9788954646079","[""성장"", ""관계"", ""상실"", ""기억"", ""시간""]"
16,16,지구에서 한아뿐 :정세랑 장편소설,지은이: 정세랑,난다,2019,9791188862290,A03810,813.7,문학 > 한국문학 > 소설,3317.0,20877,14400,228.0,109.0,8.4,20.0,20.0,0.9,5.7,64.6,한국소설,상위권,단행본, 한국문학 , 소설,"지구에서 한아뿐 :정세랑 장편소설,9791188862290","[""성장"", ""관계"", ""판타지"", ""가족"", ""공감""]"
